Complexity metrics (2),Mon, 9 Jan 2023 16:33:03 EET
Method,CogC,ev(G),iv(G),QCP_MAINT,V,v(G)
"com.example.socialnetworkgui.service.ServiceMessage.ServiceMessage(Repository<Long, User>, Repository<Long, Message>)",0,1,1,25,18,1
com.example.socialnetworkgui.service.ServiceMessage.findOne(Long),2,2,1,51,51,2
com.example.socialnetworkgui.service.ServiceMessage.get_size(),3,1,3,71,70,3
"com.example.socialnetworkgui.service.ServiceMessage.save(Long, Long, String)",1,2,1,164,247,2
"com.example.socialnetworkgui.service.ServiceUser.ServiceUser(Repository<Long, User>, Repository<SortedSet<Long>, Friendship>, Repository<Long, Message>)",0,1,1,26,19,1
com.example.socialnetworkgui.service.ServiceUser.acceptRequest(User),7,4,8,315,451,8
com.example.socialnetworkgui.service.ServiceUser.addObserver(Observer<FriendshipEntityChangeEvent>),0,1,1,18,11,1
"com.example.socialnetworkgui.service.ServiceUser.connectUser(String, String)",7,4,4,96,108,4
com.example.socialnetworkgui.service.ServiceUser.declineRequest(User),7,4,8,264,357,8
com.example.socialnetworkgui.service.ServiceUser.delete(Long),2,2,2,114,140,3
com.example.socialnetworkgui.service.ServiceUser.disconnectUser(),0,1,1,18,11,1
"com.example.socialnetworkgui.service.ServiceUser.findByName(String, String)",2,2,2,59,62,2
com.example.socialnetworkgui.service.ServiceUser.findOne(Long),2,2,2,53,53,2
com.example.socialnetworkgui.service.ServiceUser.firstnameFrom(),3,3,3,57,53,3
com.example.socialnetworkgui.service.ServiceUser.firstnameTo(),3,3,3,57,55,3
com.example.socialnetworkgui.service.ServiceUser.getFriendRequests(),4,1,4,83,95,4
com.example.socialnetworkgui.service.ServiceUser.getFriends(),12,1,6,134,159,6
com.example.socialnetworkgui.service.ServiceUser.getFriendsWithPending(),8,1,5,118,137,5
com.example.socialnetworkgui.service.ServiceUser.getIdCurent(),0,1,1,12,4,1
com.example.socialnetworkgui.service.ServiceUser.getNoFriends(),9,4,5,119,138,6
com.example.socialnetworkgui.service.ServiceUser.getSentFriendRequests(),4,1,4,83,95,4
com.example.socialnetworkgui.service.ServiceUser.getUtilizatorCurent(),0,1,1,18,11,1
com.example.socialnetworkgui.service.ServiceUser.get_size(),3,1,3,58,51,3
com.example.socialnetworkgui.service.ServiceUser.lastnameFrom(),3,3,3,57,53,3
com.example.socialnetworkgui.service.ServiceUser.lastnameTo(),3,3,3,57,55,3
com.example.socialnetworkgui.service.ServiceUser.notifyObservers(FriendshipEntityChangeEvent),0,1,1,24,19,1
com.example.socialnetworkgui.service.ServiceUser.printUs(),0,1,1,15,8,1
com.example.socialnetworkgui.service.ServiceUser.receivedMessages(),3,1,3,58,55,3
com.example.socialnetworkgui.service.ServiceUser.removeObserver(Observer<FriendshipEntityChangeEvent>),0,1,1,18,11,1
"com.example.socialnetworkgui.service.ServiceUser.save(String, String, String, String)",7,5,3,166,234,5
"com.example.socialnetworkgui.service.ServiceUser.sendMessage(String, User)",2,2,2,97,116,2
com.example.socialnetworkgui.service.ServiceUser.sendRequest(User),4,3,3,151,209,4
com.example.socialnetworkgui.service.ServiceUser.sentMessages(),3,1,3,58,55,3
com.example.socialnetworkgui.service.ServiceUser.setIdCurent(User),0,1,1,21,15,1
"com.example.socialnetworkgui.service.ServiceUser.update(Long, String, String, String, String)",1,2,1,89,115,2
"com.example.socialnetworkgui.utils.FriendshipEntityChangeEvent.FriendshipEntityChangeEvent(ChangeEventType, Friendship)",0,1,1,25,18,1
"com.example.socialnetworkgui.utils.FriendshipEntityChangeEvent.FriendshipEntityChangeEvent(ChangeEventType, Friendship, Friendship)",0,1,1,35,30,1
com.example.socialnetworkgui.utils.FriendshipEntityChangeEvent.getData(),0,1,1,12,4,1
com.example.socialnetworkgui.utils.FriendshipEntityChangeEvent.getOldData(),0,1,1,12,4,1
com.example.socialnetworkgui.utils.FriendshipEntityChangeEvent.getType(),0,1,1,12,4,1
"com.example.socialnetworkgui.utils.UserEntityChangeEvent.UserEntityChangeEvent(ChangeEventType, User)",0,1,1,25,18,1
"com.example.socialnetworkgui.utils.UserEntityChangeEvent.UserEntityChangeEvent(ChangeEventType, User, User)",0,1,1,35,30,1
com.example.socialnetworkgui.utils.UserEntityChangeEvent.getData(),0,1,1,12,4,1
com.example.socialnetworkgui.utils.UserEntityChangeEvent.getOldData(),0,1,1,12,4,1
com.example.socialnetworkgui.utils.UserEntityChangeEvent.getType(),0,1,1,12,4,1

Class,CBO,DIT,LCOM,NOC,OCavg,OCmax,V,WMC
com.example.socialnetworkgui.HelloApplication,9,2,2,0,1.00,1,104,2
com.example.socialnetworkgui.HelloController,0,1,1,0,1.00,1,24,1
com.example.socialnetworkgui.Main,13,1,2,0,1.00,1,361,2
com.example.socialnetworkgui.controller.AddFriendPage,9,1,1,0,1.00,1,576,6
com.example.socialnetworkgui.controller.FriendRequestPage,9,1,1,0,1.14,2,717,8
com.example.socialnetworkgui.controller.Login,15,1,1,0,1.00,1,672,2
com.example.socialnetworkgui.controller.MessagePage,7,1,1,0,1.20,2,714,6
com.example.socialnetworkgui.controller.ReceivedMessagesPage,6,1,1,0,1.25,2,492,5
com.example.socialnetworkgui.controller.SentFriendRequestPage,9,1,1,0,1.17,2,607,7
com.example.socialnetworkgui.controller.SentMessagesPage,6,1,1,0,1.25,2,492,5
com.example.socialnetworkgui.controller.SignUp,15,1,1,0,1.00,1,584,1
com.example.socialnetworkgui.controller.UserPage,23,1,1,0,1.00,1,"2,186",12
com.example.socialnetworkgui.domain.Entity,16,1,1,3,1.00,1,33,2
com.example.socialnetworkgui.domain.Friendship,12,2,4,0,1.13,3,676,17
com.example.socialnetworkgui.domain.Message,11,2,7,0,1.11,3,697,20
com.example.socialnetworkgui.domain.Pair,0,1,2,0,1.00,1,118,6
com.example.socialnetworkgui.domain.User,21,2,6,0,1.10,3,845,22
com.example.socialnetworkgui.domain.validation.FriendshipValidator,8,1,1,0,2.00,2,64,2
com.example.socialnetworkgui.domain.validation.MessageValidator,8,1,1,0,3.00,3,98,3
com.example.socialnetworkgui.domain.validation.UserValidator,8,1,1,0,5.00,5,196,5
com.example.socialnetworkgui.domain.validation.ValidationException,12,4,0,0,1.00,1,96,5
com.example.socialnetworkgui.repository.FriendshipDB,9,1,2,0,2.33,5,"3,012",21
com.example.socialnetworkgui.repository.InMemoryRepository,3,1,2,0,1.86,3,490,13
com.example.socialnetworkgui.repository.MessageDB,8,1,3,0,1.75,3,"1,771",14
com.example.socialnetworkgui.repository.UserDB,8,1,1,0,2.29,3,"2,188",16
com.example.socialnetworkgui.service.Network,3,1,1,0,3.14,7,"1,584",22
com.example.socialnetworkgui.service.ServiceFriendship,15,1,1,0,2.80,6,"1,027",14
com.example.socialnetworkgui.service.ServiceMessage,15,1,1,0,2.00,3,536,8
com.example.socialnetworkgui.service.ServiceUser,20,1,1,0,2.61,5,"4,930",81
com.example.socialnetworkgui.utils.ChangeEventType,3,n/a,2,n/a,n/a,n/a,2,0
com.example.socialnetworkgui.utils.FriendshipEntityChangeEvent,8,1,3,0,1.00,1,111,5
com.example.socialnetworkgui.utils.UserEntityChangeEvent,3,1,3,0,1.00,1,111,5

Interface,CBO
com.example.socialnetworkgui.domain.validation.Validator,8
com.example.socialnetworkgui.repository.Repository,12
com.example.socialnetworkgui.utils.Event,4
com.example.socialnetworkgui.utils.Observable,3
com.example.socialnetworkgui.utils.Observer,7

Package,Ca,Ce,I,v(G)avg,v(G)tot
com.example.socialnetworkgui,16,19,0.54,1.00,5
com.example.socialnetworkgui.controller,0,209,1.00,1.57,74
com.example.socialnetworkgui.domain,565,0,0.00,1.23,75
com.example.socialnetworkgui.domain.validation,54,18,0.25,1.88,15
com.example.socialnetworkgui.repository,85,182,0.68,2.65,82
com.example.socialnetworkgui.service,80,395,0.83,3.11,146
com.example.socialnetworkgui.utils,37,14,0.27,1.00,10

Module,v(G)avg,v(G)tot
SocialNetworkGUI.main,1.95,407

Project,v(G)avg,v(G)tot
project,1.95,407

